"","id","smile"
"225","DB00372","CCSC1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1"
"226","DB00373","[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1"
"227","DB00374","[H][C@]12C[C@@H](O)[C@H](CC[C@@H](O)CCCCC)[C@@]1([H])CC1=C(C2)C(OCC(O)=O)=CC=C1"
"228","DB00376","OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1"
"229","DB00377","[H][C@]12CCCC3=C1C(=CC=C3)C(=O)N(C2)[C@@H]1CN2CCC1CC2"
"230","DB00378","[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C"
"231","DB00379","CC(N)COC1=C(C)C=CC=C1C"
"232","DB00380","C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1"
"233","DB00381","CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC"
"234","DB00382","NC1=C2CCCCC2=NC2=CC=CC=C12"
"235","DB00383","CN1CCCN=C1COC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1"
"236","DB00384","NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1"
"237","DB00387","OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1"
"238","DB00388","CNC[C@H](O)C1=CC(O)=CC=C1"
"239","DB00389","CCOC(=O)N1C=CN(C)C1=S"
"240","DB00391","CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O"
"241","DB00392","CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12"
"242","DB00393","COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C"
"243","DB00394","[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C"
"244","DB00395","CCCC(C)(COC(N)=O)COC(=O)NC(C)C"
"245","DB00396","[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"
"246","DB00397","CC(N)C(O)C1=CC=CC=C1"
"247","DB00398","CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"
"248","DB00399","OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O"
"249","DB00400","COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC"
"250","DB00401","COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C"
"251","DB00402","CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1"
